ACCIONA,135.900,136.800,135.900,10:12
ACERINOX,12.030,12.185,11.995,10:14
ACS,26.490,26.720,26.460,10:15
AENA,144.450,145.950,144.100,10:15
ALMIRALL,14.230,14.390,14.230,10:14
AMADEUS IT GROUP,60.420,61.620,60.380,10:14
ARCELORMITTAL,27.540,27.710,27.250,10:15
BANCO SABADELL,0.660,0.675,0.653,10:15
BANKINTER,4.825,4.835,4.798,10:15
BBVA,5.094,5.099,5.044,10:15
CAIXABANK,2.870,2.881,2.855,10:14
CELLNEX TELECOM,46.050,46.410,46.040,10:14
CIE AUTOMOTIVE,24.720,24.940,24.580,10:13
COLONIAL,8.730,8.770,8.465,10:13
ENAGAS,19.095,19.185,19.035,10:15
ENDESA,23.300,23.390,23.190,10:14
FERROVIAL,24.490,24.810,24.440,10:14
FLUIDRA,32.750,32.900,32.650,10:11
GRIFOLS,23.770,24.140,23.750,10:14
IAG,2.264,2.290,2.249,10:15
IBERDROLA,11.335,11.430,11.325,10:15
INDITEX,32.610,32.630,32.380,10:15
INDRA,8.200,8.300,8.190,10:14
MAPFRE,1.944,1.944,1.933,10:15
MELIÁ HOTELS,6.788,6.830,6.736,10:14
MERLIN PROP,8.908,8.922,8.804,10:15
NATURGY,21.890,21.950,21.850,10:15
PHARMA MAR,82.620,84.300,82.420,10:14
RED ELÉCTRICA,16.135,16.180,16.075,10:15
REPSOL,11.324,11.400,11.190,10:13
SANTANDER,3.385,3.385,3.351,10:15
SIEMENS GAMESA,25.400,26.320,25.400,17/05
SOLARIA,15.800,16.050,15.620,10:15
TELEFÓNICA,4.167,4.177,4.134,10:15
VISCOFAN,58.150,58.400,58.100,10:12
