ACCIONA,136.100,136.700,135.900,09:15
ACERINOX,12.100,12.185,12.095,09:14
ACS,26.620,26.720,26.600,09:15
AENA,144.700,145.950,144.700,09:15
ALMIRALL,14.350,14.390,14.310,09:15
AMADEUS IT GROUP,61.220,61.620,60.760,09:15
ARCELORMITTAL,27.425,27.710,27.250,09:15
BANCO SABADELL,0.665,0.675,0.665,09:15
BANKINTER,4.818,4.835,4.798,09:14
BBVA,5.050,5.083,5.044,09:15
CAIXABANK,2.865,2.881,2.865,09:15
CELLNEX TELECOM,46.240,46.410,46.060,09:13
CIE AUTOMOTIVE,24.800,24.940,24.700,09:13
COLONIAL,8.485,8.685,8.465,09:15
ENAGAS,19.110,19.110,19.045,09:15
ENDESA,23.330,23.330,23.190,09:15
FERROVIAL,24.640,24.720,24.500,09:15
FLUIDRA,32.800,32.900,32.650,09:14
GRIFOLS,23.970,24.140,23.970,09:14
IAG,2.267,2.290,2.258,09:15
IBERDROLA,11.395,11.415,11.365,09:15
INDITEX,32.440,32.500,32.380,09:14
INDRA,8.245,8.300,8.235,09:15
MAPFRE,1.938,1.943,1.936,09:13
MELIÁ HOTELS,6.800,6.830,6.736,09:14
MERLIN PROP,8.804,8.922,8.804,09:15
NATURGY,21.880,21.930,21.850,09:14
PHARMA MAR,84.100,84.300,83.280,09:15
RED ELÉCTRICA,16.135,16.160,16.075,09:15
REPSOL,11.326,11.338,11.190,09:15
SANTANDER,3.352,3.370,3.351,09:15
SIEMENS GAMESA,25.400,26.320,25.400,17/05
SOLARIA,15.810,15.980,15.620,09:15
TELEFÓNICA,4.143,4.177,4.134,09:15
VISCOFAN,58.150,58.200,58.100,09:08
